airTempC,relativeHumidityPct,dewPointC,condensesOn2CPallet,source
28,60,19.51,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
28,70,22.02,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
28,80,24.23,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
28,90,26.21,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
28,100,28.0,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
30,20,4.6,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
30,30,10.54,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
30,40,14.93,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
30,50,18.45,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
30,60,21.39,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
30,70,23.93,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
30,80,26.17,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
30,90,28.18,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
30,100,30.0,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
32,20,6.24,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
32,30,12.26,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
32,40,16.72,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
32,50,20.28,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
32,60,23.27,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
32,70,25.84,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
32,80,28.12,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
32,90,30.15,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
32,100,32.0,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
34,20,7.88,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
34,30,13.99,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
34,40,18.5,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
34,50,22.11,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
34,60,25.14,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
34,70,27.75,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
34,80,30.06,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
34,90,32.12,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
34,100,34.0,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
36,20,9.52,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
36,30,15.71,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
36,40,20.28,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
36,50,23.94,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
36,60,27.01,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
36,70,29.66,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
36,80,32.0,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
36,90,34.1,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
36,100,36.0,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
38,20,11.16,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
38,30,17.43,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
38,40,22.06,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
38,50,25.78,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
38,60,28.89,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
38,70,31.57,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
38,80,33.94,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
38,90,36.07,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
38,100,38.0,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
40,20,12.79,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
40,30,19.14,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
40,40,23.84,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
40,50,27.6,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
40,60,30.76,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
40,70,33.48,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
40,80,35.89,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
40,90,38.04,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
40,100,40.0,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
42,20,14.43,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
42,30,20.86,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
42,40,25.62,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
42,50,29.43,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
42,60,32.63,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
42,70,35.39,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
42,80,37.83,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
42,90,40.02,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
42,100,42.0,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
44,20,16.06,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
44,30,22.57,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
44,40,27.4,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
44,50,31.26,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
44,60,34.5,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
44,70,37.3,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
44,80,39.77,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
44,90,41.99,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
44,100,44.0,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
46,20,17.69,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
46,30,24.28,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
46,40,29.17,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
46,50,33.09,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
46,60,36.37,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
46,70,39.21,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
46,80,41.71,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
46,90,43.96,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
46,100,46.0,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
48,20,19.31,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
48,30,25.99,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
48,40,30.94,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
48,50,34.91,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
48,60,38.24,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
48,70,41.11,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
48,80,43.65,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
48,90,45.93,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
48,100,48.0,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
50,20,20.94,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
50,30,27.7,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
50,40,32.71,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
50,50,36.73,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
50,60,40.11,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
50,70,43.02,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
50,80,45.59,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
50,90,47.9,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
50,100,50.0,yes,"Magnus/Tetens coefficients, Alduchov & Eskridge 1996"
